user	data	day	hour	time_diff
user1	2017-01-17	Tue	19	0:00:00
user1	2017-01-17	Tue	19	0:01:00
user1	2017-01-17	Tue	19	0:05:00
user1	2017-01-20	Fri	23	0:12:00
user1	2017-01-21	Sat	14	0:00:00
user1	2017-01-24	Tue	21	0:02:00
user1	2017-01-24	Tue	21	0:00:00
user1	2017-01-24	Tue	21	0:00:00
user1	2017-01-25	Wed	15	0:14:00
user1	2017-01-26	Thu	20	0:03:00
user1	2017-01-26	Thu	20	0:00:00
user1	2017-01-26	Thu	20	0:00:00
user1	2017-01-26	Thu	20	0:00:00
user1	2017-01-26	Thu	20	0:00:00
user1	2017-01-26	Thu	20	0:04:00
user1	2017-01-26	Thu	22	0:03:00
user1	2017-01-26	Thu	22	0:01:00
user1	2017-01-26	Thu	23	0:01:00
user1	2017-01-27	Fri	00	0:00:00
user1	2017-01-27	Fri	00	0:01:00
user1	2017-01-27	Fri	16	0:04:00
user1	2017-01-27	Fri	17	0:00:00
user1	2017-01-27	Fri	22	0:01:00
user1	2017-01-27	Fri	22	0:00:00
user1	2017-01-27	Fri	22	0:01:00
user1	2017-01-29	Sun	22	0:00:00
user1	2017-01-30	Mon	00	0:00:00
user1	2017-01-30	Mon	15	0:02:00
user1	2017-01-30	Mon	17	0:42:00
user1	2017-01-30	Mon	18	0:04:00
user1	2017-01-30	Mon	22	0:01:00
user1	2017-01-31	Tue	00	0:00:00
user1	2017-01-31	Tue	00	0:08:00
user1	2017-02-01	Wed	23	0:04:00
user1	2017-02-02	Thu	19	0:27:00
user1	2017-02-04	Sat	11	0:00:00
user1	2017-02-04	Sat	11	0:00:00
user1	2017-02-04	Sat	11	0:04:00
user1	2017-02-04	Sat	13	0:08:00
user1	2017-02-04	Sat	22	0:08:00
user1	2017-02-05	Sun	14	0:00:00
user1	2017-02-05	Sun	14	0:00:00
user1	2017-02-05	Sun	14	0:00:00
user1	2017-02-07	Tue	18	0:04:00
user1	2017-02-07	Tue	19	0:10:00
user1	2017-02-07	Tue	20	0:03:00
user1	2017-02-07	Tue	20	0:02:00
user1	2017-02-07	Tue	20	0:01:00
user1	2017-02-07	Tue	20	0:11:00
user1	2017-02-07	Tue	21	0:10:00
user1	2017-02-07	Tue	21	0:16:00
user1	2017-02-07	Tue	22	0:00:00
user1	2017-02-07	Tue	22	0:01:00
user1	2017-02-07	Tue	22	0:00:00
user1	2017-02-07	Tue	22	0:01:00
user1	2017-02-08	Wed	17	0:00:00
user1	2017-02-08	Wed	22	4:27:00
user1	2017-02-08	Wed	23	0:10:00
user1	2017-02-10	Fri	14	1:37:00
user1	2017-02-10	Fri	18	0:02:00
user1	2017-02-10	Fri	18	0:00:00
user1	2017-02-10	Fri	20	0:01:00
user1	2017-02-10	Fri	20	0:01:00
user1	2017-02-10	Fri	21	0:01:00
user1	2017-02-10	Fri	22	0:00:00
user1	2017-02-10	Fri	22	0:00:00
user1	2017-02-10	Fri	22	0:00:00
user1	2017-02-10	Fri	22	0:01:00
user1	2017-02-10	Fri	22	0:00:00
user1	2017-02-10	Fri	22	0:00:00
user1	2017-02-10	Fri	22	0:02:00
user1	2017-02-10	Fri	23	0:00:00
user1	2017-02-14	Tue	23	0:00:00
user1	2017-02-15	Wed	13	1:54:00
user1	2017-02-15	Wed	15	0:03:00
user1	2017-02-16	Thu	08	0:00:00
user1	2017-02-16	Thu	08	0:00:00
user1	2017-02-16	Thu	08	0:01:00
user1	2017-02-16	Thu	08	0:00:00
user1	2017-02-16	Thu	08	0:00:00
user1	2017-02-16	Thu	10	0:02:00
user1	2017-02-16	Thu	10	0:06:00
user1	2017-02-16	Thu	11	0:06:00
user1	2017-02-17	Fri	20	0:02:00
user1	2017-02-17	Fri	20	0:00:00
user1	2017-02-17	Fri	20	0:00:00
user1	2017-02-18	Sat	15	0:00:00
user1	2017-02-18	Sat	20	0:00:00
user1	2017-02-18	Sat	21	0:00:00
user1	2017-02-18	Sat	21	0:05:00
user1	2017-02-22	Wed	18	0:37:00
user1	2017-02-22	Wed	22	0:00:00
user1	2017-02-22	Wed	22	0:00:00
user1	2017-02-22	Wed	22	0:10:00
user1	2017-02-22	Wed	23	0:00:00
user1	2017-02-25	Sat	01	0:00:00
user1	2017-02-26	Sun	16	0:04:00
user1	2017-02-26	Sun	18	0:13:00
user1	2017-02-27	Mon	13	1:42:00
user1	2017-02-27	Mon	13	0:00:00
user1	2017-02-27	Mon	13	0:00:00
user1	2017-02-27	Mon	14	0:00:00
user1	2017-02-27	Mon	14	0:01:00
user1	2017-02-27	Mon	17	0:00:00
user1	2017-02-27	Mon	17	0:00:00
user1	2017-02-27	Mon	18	0:00:00
user1	2017-02-27	Mon	18	0:01:00
user1	2017-02-27	Mon	20	1:47:00
user1	2017-02-28	Tue	19	0:00:00
user1	2017-03-01	Wed	01	0:02:00
user1	2017-03-01	Wed	16	0:01:00
user1	2017-03-01	Wed	16	0:00:00
user1	2017-03-01	Wed	16	0:00:00
user1	2017-03-01	Wed	16	0:01:00
user1	2017-03-01	Wed	16	0:00:00
user1	2017-03-01	Wed	17	0:00:00
user1	2017-03-01	Wed	17	0:00:00
user1	2017-03-01	Wed	17	0:00:00
user1	2017-03-01	Wed	17	0:00:00
user1	2017-03-01	Wed	17	0:00:00
user1	2017-03-01	Wed	17	0:00:00
user1	2017-03-01	Wed	17	0:00:00
user1	2017-03-01	Wed	17	0:00:00
user1	2017-03-01	Wed	20	0:22:00
user1	2017-03-01	Wed	20	0:02:00
user1	2017-03-01	Wed	21	0:01:00
user1	2017-03-01	Wed	21	0:00:00
user1	2017-03-02	Thu	00	0:06:00
user1	2017-03-02	Thu	00	0:00:00
user1	2017-03-02	Thu	00	0:00:00
user1	2017-03-02	Thu	14	0:02:00
user1	2017-03-02	Thu	15	0:03:00
user1	2017-03-02	Thu	19	0:01:00
user1	2017-03-02	Thu	21	0:00:00
user1	2017-03-02	Thu	21	0:00:00
user1	2017-03-02	Thu	23	0:00:00
user1	2017-03-03	Fri	16	0:04:00
user1	2017-03-03	Fri	16	0:00:00
user1	2017-03-03	Fri	16	0:01:00
user1	2017-03-03	Fri	16	0:06:00
user1	2017-03-03	Fri	16	0:05:00
user1	2017-03-03	Fri	17	0:01:00
user1	2017-03-03	Fri	17	0:28:00
user1	2017-03-03	Fri	18	0:00:00
user1	2017-03-03	Fri	20	0:16:00
user1	2017-03-03	Fri	22	0:03:00
user1	2017-03-03	Fri	22	0:02:00
user1	2017-03-04	Sat	15	0:01:00
user1	2017-03-04	Sat	15	0:00:00
user1	2017-03-04	Sat	16	0:00:00
user1	2017-03-04	Sat	16	0:00:00
user1	2017-03-04	Sat	17	0:01:00
user1	2017-03-04	Sat	18	0:00:00
user1	2017-03-04	Sat	18	0:01:00
user1	2017-03-04	Sat	21	0:00:00
user1	2017-03-04	Sat	21	0:00:00
user1	2017-03-04	Sat	21	0:00:00
user1	2017-03-04	Sat	22	0:00:00
user1	2017-03-04	Sat	22	0:01:00
user1	2017-03-04	Sat	22	0:00:00
user1	2017-03-04	Sat	22	0:00:00
user1	2017-03-04	Sat	22	0:00:00
user1	2017-03-04	Sat	22	0:00:00
user1	2017-03-04	Sat	22	0:00:00
user1	2017-03-04	Sat	22	0:00:00
user1	2017-03-04	Sat	22	0:00:00
user1	2017-03-06	Mon	05	4:24:00
user1	2017-03-07	Tue	17	0:00:00
user1	2017-03-07	Tue	19	0:01:00
user1	2017-03-07	Tue	19	0:03:00
user1	2017-03-08	Wed	17	0:00:00
user1	2017-03-08	Wed	18	0:03:00
user1	2017-03-09	Thu	00	0:00:00
user1	2017-03-09	Thu	00	0:00:00
user1	2017-03-09	Thu	00	0:01:00
